Brand,Industry,Competence,Sincerity,Excitement,Sophistication,Ruggedness
Adidas,Sportswear,3.89,3.64,3.81,3.43,3.14
Airbnb,Hotels,3.98,3.92,4.05,3.65,2.85
Allstate,Insurance,3.99,3.65,3.39,2.99,2.67
Amazon,Retail,4.34,3.55,3.91,3.22,2.68
Amazon Prime Video,Streaming,4.19,3.87,4.04,3.51,2.77
American Airlines,Airlines,4.01,3.59,3.52,3.37,2.69
American Express,Credit Cards,4.15,3.5,3.51,3.45,2.83
Apple,Technology,4.26,3.43,4.02,3.67,2.54
Apple TV+ Streaming,Streaming,4.22,3.94,4.08,3.93,2.89
AT&T,Telecom,3.83,3.28,3.23,2.93,2.71
Bank of America,Banking,3.87,3.3,3.18,2.85,2.4
Chase,Credit Cards,3.98,3.23,3.16,2.81,2.25
Coca-Cola,Soft Drinks,3.93,3.73,3.63,3.22,2.7
CVS,Drug Store,3.84,3.57,3.12,2.91,2.13
Delta Airlines,Airlines,3.91,3.5,3.35,3.17,2.59
Disney,Other,4.3,4.0,4.06,3.78,2.59
Disney+ Streaming,Streaming,4.25,4.16,4.15,3.88,2.77
Facebook,Technology,3.58,3.08,3.39,2.8,2.36
FedEx,Shipping,4.06,3.55,3.35,2.81,2.89
Geico,Insurance,3.86,3.65,3.55,2.93,2.51
Google,Technology,4.22,3.36,3.74,3.05,2.39
Hilton,Hotels,4.01,3.55,3.52,3.55,2.35
Hulu,Streaming,4.13,3.96,4.09,3.71,2.88
Liberty Mutual,Insurance,4.11,3.87,3.79,3.35,2.91
Lyft,Ride-Share,3.87,3.51,3.74,3.16,2.51
Marriott,Hotels,4.23,3.82,3.63,3.67,2.41
Mastercard,Credit Cards,4.01,3.4,3.29,3.03,2.45
Microsoft,Technology,4.31,3.47,3.71,3.19,2.63
Netflix,Streaming,4.09,3.73,4.0,3.47,2.8
Nike,Sportswear,4.02,3.55,3.9,3.57,3.27
Pepsi,Soft Drinks,3.75,3.55,3.56,3.14,2.65
Progressive,Insurance,4.04,3.82,3.77,3.26,2.67
Southwest Airlines,Airlines,4.16,3.91,3.63,3.13,2.69
Sprint,Telecom,3.71,3.3,3.3,2.89,2.61
State Farm,Insurance,3.95,3.58,3.16,2.67,2.53
T-Mobile,Telecom,3.78,3.45,3.48,3.11,2.56
Target,Retail,3.83,3.57,3.52,3.21,2.37
Uber,Ride-Share,3.81,3.35,3.61,2.99,2.32
United Airlines,Airlines,3.78,3.43,3.29,3.11,2.84
UPS,Shipping,4.24,3.71,3.45,2.84,3.07
Verizon,Telecom,4.03,3.28,3.5,2.96,2.45
Visa,Credit Cards,4.11,3.4,3.35,2.92,2.34
Walgreens,Drug Store,3.92,3.75,3.25,2.95,2.25
Walmart,Retail,3.85,3.47,3.13,2.58,2.55
Wells Fargo,Banking,3.64,3.17,3.01,2.69,2.67
